datetime	user	clientip	serverip	host	url	requestmethod	status	requestsize	responsesize	useragent	action	urlcategory	urlsupercategory	appname	appclass	threatname	threatcategory	riskscore	reason	referer	dlpengine	dlpdictionaries	location	department	devicehostname	devicename	deviceostype	deviceosversion	deviceowner	bypassed_traffic	flow_type	ja4_str	df_hostname	df_hosthead	ssldecrypted	is_sslselfsigned	is_sslexpiredca	is_ssluntrustedca	srvcertvalidityperiod	srvocspresult	sha256	bamd5	srcip_country	dstip_country	is_src_cntry_risky	is_dst_cntry_risky	upload_filename	upload_filetype	filetype	unscannabletype	threatseverity	time	tz	ss	mm	hh	dd	mth	yyyy	mon	day	epochtime	company	cloudname	txn_delay_req	txn_delay_resp	throttlereqsize	throttlerespsize	bwthrottle	bwclassname	bwrulename	app_risk_score	app_status	activity	prompt_req	prompt_class	inst_level1_type	inst_level1_id	inst_level1_name	inst_level2_type	inst_level2_id	inst_level2_name	inst_level3_type	inst_level3_id	inst_level3_name	datacenter	datacentercity	datacentercountry	dlpdict	dlpdicthitcount	dlpidentifier	exempt_dlpidentifier	dlpmd5	dlprulename	trig_dlprulename	other_dlprulenames	all_dlprulenames	dlp_policy_action	dlp_confirm_justification_msg	extranet_name	ft_rulename	fileclass	filename	filesubtype	upload_fileclass	upload_filesubtype	upload_doctypename	upload_doc_sub_type	rdr_rulename	fwd_type	fwd_gw_name	fwd_gw_ip	zpa_app_seg_name	reqdatasize	reqhdrsize	respdatasize	resphdrsize	totalsize	reqversion	respversion	refererhost	uaclass	ua_token	contenttype	mobappname	mobappcat	mobdevtype	cintip	cpubip	clt_sport	srv_dport	proto	alpnprotocol	trafficredirectmethod	userlocationname	ruletype	rulelabel	urlfilterrulelabel	apprulelabel	ssl_rulename	externalspr	keyprotectiontype	clientsslcipher	clienttlsversion	clientsslsessreuse	cltsslfailreason	cltsslfailcount	client_tls_keyex_pqc_offers	client_tls_keyex_non_pqc_offers	client_tls_keyex_hybrid_offers	client_tls_keyex_unknown_offers	client_tls_sig_pqc_offers	client_tls_sig_non_pqc_offers	client_tls_sig_hybrid_offers	client_tls_sig_unknown_offers	client_tls_keyex_alg	client_tls_sig_alg	srvsslcipher	srvtlsversion	serversslsessreuse	srvcertchainvalpass	srvwildcardcert	srvcertvalidationtype	server_tls_keyex_alg	server_tls_sig_alg	malwareclass	ai_ml_detect_src	urlclass	urlcatmethod	devicemodel	devicetype	deviceappversion	ztunnelversion	external_devid	bypassed_etime	recordid	pcapid	productversion	nsssvcip	eedone
2026-02-26T01:28:30Z	svc-backup-s3@corp.example	203.0.113.200	151.101.126.173	box.com	/sync/records/832355	POST	200	15660	13612	rclone/v1.68.1	Allowed	File Host	Internet Services	Box	File Share	None	None	10	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	No	None	None	None	None	None	None	None	United States	United States	No	No	None	None	None	None	Low	Thu Feb 26 01:28:30 2026	GMT	30	28	01	26	02	2026	Feb	Thu	1772069310	Northwind Trading	corp.zscaler.net	33	39	0	0	No	None	None	1	Sanctioned	Upload	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	15296	364	12963	649	29272	1.1	1.1	None	Other	rclone (0.x)	text/html	None	None	None	203.0.113.200	203.0.113.200	19537	443	HTTP	h2	PAC	None	None	None	None	None	SSL_Bypass_1	Not inspected because of trusted cert-pinned application	None	ECDHE-ECDSA-AES128-GCM-SHA256	TLS1_2	No	None	0	0	1	0	0	0	1	0	0	secp256r1	ecdsa_secp256r1_sha256	ECDHE-RSA-AES256-GCM-SHA384	TLS1_2	Yes	Pass	No	DV	secp256r1	ecdsa_secp256r1_sha256	None	None	General Surfing	Database B	None	None	None	None	None	None	142077760055	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T03:26:41Z	svc-backup-s3@corp.example	203.0.113.200	151.101.126.173	box.com	/sync/records/303707	PUT	200	8251	837	rclone/v1.68.1	Allowed	File Host	Internet Services	Box	File Share	None	None	10	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Short (0-3 months)	Good	None	None	United States	United States	No	No	None	None	None	None	Low	Thu Feb 26 03:26:41 2026	GMT	41	26	03	26	02	2026	Feb	Thu	1772076401	Northwind Trading	corp.zscaler.net	34	13	0	0	No	None	None	1	Sanctioned	View	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	8031	220	578	259	9088	1.1	1.1	None	Other	rclone (0.x)	text/html	None	None	None	203.0.113.200	203.0.113.200	61101	443	HTTP	h2	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_128_GCM_SHA256	TLS1_3	Yes	None	0	0	1	0	0	0	1	0	0	secp256r1	rsa_pss_rsae_sha256	TLS_CHACHA20_POLY1305_SHA256	TLS1_3	Yes	Pass	No	DV	secp256r1	ecdsa_secp256r1_sha256	None	None	General Surfing	Database A	None	None	None	None	None	None	767435817329	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T05:26:28Z	svc-backup-s3@corp.example	203.0.113.200	151.101.126.173	box.com	/api/v2/batch?page=847495	POST	200	6269	17159	rclone/v1.68.1	Allowed	File Host	Internet Services	Box	File Share	None	None	10	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Short (0-3 months)	Good	None	None	United States	United States	No	No	None	None	None	None	Low	Thu Feb 26 05:26:28 2026	GMT	28	26	05	26	02	2026	Feb	Thu	1772083588	Northwind Trading	corp.zscaler.net	29	14	0	0	No	None	None	1	Sanctioned	Upload	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	6087	182	16889	270	23428	1.1	1.1	None	Other	rclone (0.x)	application/json	None	None	None	203.0.113.200	203.0.113.200	37061	443	HTTP	h2	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_128_GCM_SHA256	TLS1_3	No	None	0	0	1	0	0	0	1	0	0	X25519	rsa_pss_rsae_sha256	TLS_AES_256_GCM_SHA384	TLS1_3	Yes	Pass	No	DV	X25519	rsa_pss_rsae_sha256	None	None	General Surfing	Database B	None	None	None	None	None	None	558649876925	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T06:45:41Z	nbertrando@corp.example	77.120.238.66	99.86.253.99	onelogin.com	/products/138333	GET	200	318	29595	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	Allowed	Professional Services	Business and Economy	OneLogin	Authentication	None	None	0	None	None	None	None	US-CA	Engineering	DESKTOP-NBERTRANDO	DESKTOP-NBERTRANDO:0000000000000000B08734F35D638CED	Windows OS	Version 10.0.22631	nbertrando	0	VPN	t13d190900_4f2f7f80919a_a569c53c8137	None	None	No	None	None	None	None	None	None	None	United States	Japan	No	No	None	None	None	None	None	Thu Feb 26 06:45:41 2026	GMT	41	45	06	26	02	2026	Feb	Thu	1772088341	Northwind Trading	corp.zscaler.net	20	13	0	0	No	None	None	1	Sanctioned	View	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	0	318	29339	256	29913	1.1	1.1	None	Chrome	Google Chrome (0.x)	text/html	None	None	None	77.120.238.66	77.120.238.66	26737	443	HTTP	http/1.1	Zscaler Client Connector	None	None	None	None	None	SSL_Bypass_1	Not inspected because of client non-browser traffic	None	TLS_AES_128_GCM_SHA256	TLS1_3	No	None	0	0	1	0	0	0	1	0	0	secp256r1	ecdsa_secp256r1_sha256	TLS_CHACHA20_POLY1305_SHA256	TLS1_3	No	Pass	No	OV	X25519	ecdsa_secp256r1_sha256	None	None	General Surfing	Database A	21HH0028US	Zscaler Client Connector	4.3.1.88	ZTUNNEL_2_0	9423	None	363279656534	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T06:45:44Z	nbertrando@corp.example	77.120.238.66	99.86.253.99	onelogin.com	/assets/img/11014.jpg	GET	200	989	149064	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	Allowed	Professional Services	Business and Economy	OneLogin	Authentication	None	None	0	None	https://onelogin.com/	None	None	US-CA	Engineering	DESKTOP-NBERTRANDO	DESKTOP-NBERTRANDO:0000000000000000B08734F35D638CED	Windows OS	Version 10.0.22631	nbertrando	0	VPN	t13d190900_4f2f7f80919a_a569c53c8137	None	None	Yes	No	No	Pass	Long (More than 12 months)	Good	None	None	United States	Japan	No	No	None	None	None	None	None	Thu Feb 26 06:45:44 2026	GMT	44	45	06	26	02	2026	Feb	Thu	1772088344	Northwind Trading	corp.zscaler.net	23	30	0	0	No	None	None	1	Sanctioned	View	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	479	510	148748	316	150053	1.1	1.1	onelogin.com	Chrome	Google Chrome (0.x)	image/jpeg	None	None	None	77.120.238.66	77.120.238.66	36015	443	HTTP	http/1.1	Zscaler Client Connector	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	ECDHE-ECDSA-AES128-GCM-SHA256	TLS1_2	Yes	None	0	0	1	0	0	0	1	0	0	X25519	ecdsa_secp256r1_sha256	ECDHE-RSA-AES128-GCM-SHA256	TLS1_2	Yes	Pass	No	DV	X25519	ecdsa_secp256r1_sha256	None	None	General Surfing	Database A	21HH0028US	Zscaler Client Connector	4.3.1.88	ZTUNNEL_2_0	9423	None	765230526687	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T07:27:58Z	svc-backup-s3@corp.example	203.0.113.200	172.217.194.152	amazonaws.com	/v1/metrics/471626	PUT	200	122370	508	rclone/v1.68.1	Allowed	Professional Services	Business and Economy	AWS Console	IaaS	None	None	0	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Long (More than 12 months)	Good	None	None	United States	Singapore	No	No	None	None	None	None	None	Thu Feb 26 07:27:58 2026	GMT	58	27	07	26	02	2026	Feb	Thu	1772090878	Northwind Trading	corp.zscaler.net	21	13	0	0	No	None	None	1	Sanctioned	View	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	121843	527	68	440	122878	1.1	1.1	None	Other	rclone (0.x)	text/html	None	None	None	203.0.113.200	203.0.113.200	22284	443	HTTP	h2	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_CHACHA20_POLY1305_SHA256	TLS1_3	Yes	None	0	0	1	0	0	0	1	0	0	X25519	rsa_pss_rsae_sha256	TLS_AES_256_GCM_SHA384	TLS1_3	No	Pass	No	DV	secp256r1	ecdsa_secp256r1_sha256	None	None	General Surfing	Database B	None	None	None	None	None	None	245400090837	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T08:28:55Z	svc-backup-s3@corp.example	203.0.113.200	151.101.126.173	box.com	/buckets/data/266296.json	PUT	201	120749	3189	rclone/v1.68.1	Allowed	File Host	Internet Services	Box	File Share	None	None	10	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Short (0-3 months)	Good	None	None	United States	United States	No	No	None	None	None	None	Low	Thu Feb 26 08:28:55 2026	GMT	55	28	08	26	02	2026	Feb	Thu	1772094535	Northwind Trading	corp.zscaler.net	19	22	0	0	No	None	None	1	Sanctioned	View	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	120355	394	2309	880	123938	1.1	1.1	None	Other	rclone (0.x)	application/json	None	None	None	203.0.113.200	203.0.113.200	38048	443	HTTP	http/1.1	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_128_GCM_SHA256	TLS1_3	Yes	None	0	0	1	0	0	0	1	0	0	X25519	rsa_pss_rsae_sha256	TLS_CHACHA20_POLY1305_SHA256	TLS1_3	Yes	Pass	No	DV	secp256r1	ecdsa_secp256r1_sha256	None	None	General Surfing	Database A	None	None	None	None	None	None	317367685199	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T10:28:21Z	svc-backup-s3@corp.example	203.0.113.200	172.217.194.152	amazonaws.com	/api/v1/objects/341178	POST	200	3475	865	rclone/v1.68.1	Allowed	Professional Services	Business and Economy	AWS Console	IaaS	None	None	0	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Long (More than 12 months)	Good	None	None	United States	Singapore	No	No	None	None	None	None	None	Thu Feb 26 10:28:21 2026	GMT	21	28	10	26	02	2026	Feb	Thu	1772101701	Northwind Trading	corp.zscaler.net	5	41	0	0	No	None	None	1	Sanctioned	Upload	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	3068	407	347	518	4340	1.1	1.1	None	Other	rclone (0.x)	application/json	None	None	None	203.0.113.200	203.0.113.200	51844	443	HTTP	h2	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_256_GCM_SHA384	TLS1_3	Yes	None	0	0	1	1	0	0	1	0	0	X25519MLKEM768	rsa_pss_rsae_sha256	TLS_CHACHA20_POLY1305_SHA256	TLS1_3	Yes	Pass	No	OV	X25519	rsa_pss_rsae_sha256	None	None	General Surfing	Database A	None	None	None	None	None	None	242503039497	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T12:28:36Z	svc-backup-s3@corp.example	203.0.113.200	151.101.126.173	box.com	/v1/metrics/379346	POST	200	8511	210	rclone/v1.68.1	Allowed	File Host	Internet Services	Box	File Share	None	None	10	None	None	None	None	US-CA	IT	None	None	None	None	None	0	Direct	t13d190900_d3e887e2da65_9700dbdd5289	None	None	Yes	No	No	Pass	Short (0-3 months)	Good	None	None	United States	United States	No	No	None	None	None	None	Low	Thu Feb 26 12:28:36 2026	GMT	36	28	12	26	02	2026	Feb	Thu	1772108916	Northwind Trading	corp.zscaler.net	24	12	0	0	No	None	None	1	Sanctioned	Upload	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	7935	576	0	210	8721	1.1	1.1	None	Other	rclone (0.x)	text/html	None	None	None	203.0.113.200	203.0.113.200	26613	443	HTTP	http/1.1	PAC	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_256_GCM_SHA384	TLS1_3	No	None	0	0	1	0	0	0	1	0	0	secp256r1	ecdsa_secp256r1_sha256	TLS_AES_256_GCM_SHA384	TLS1_3	Yes	Pass	No	DV	secp256r1	ecdsa_secp256r1_sha256	None	None	General Surfing	Database A	None	None	None	None	None	None	910570931674	None	6.1.245.10021_01	10.10.102.30	No
2026-02-26T13:02:36Z	nbertrando@corp.example	77.120.238.66	99.156.223.10	eujluvpuarzbc.top	/updates/check?c=8b34d5c80bf3	GET	200	784	349	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	Allowed	File Host	Internet Services	General Browsing	File Share	None	None	25	None	None	None	None	US-CA	Engineering	DESKTOP-NBERTRANDO	DESKTOP-NBERTRANDO:0000000000000000B08734F35D638CED	Windows OS	Version 10.0.22631	nbertrando	0	ZIA	t13d191000_ca3d8909b173_6db09598f683	None	None	Yes	Yes	No	Fail	Short (0-3 months)	Unknown	None	None	None	Iran	None	Yes	None	None	None	None	Low	Thu Feb 26 13:02:36 2026	GMT	36	02	13	26	02	2026	Feb	Thu	1772110956	Northwind Trading	corp.zscaler.net	34	39	0	0	No	None	None	None	N/A	None	None	None	None	None	None	None	None	None	None	None	None	US Client Node DC	San Jose	United States	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Direct	None	None	None	432	352	163	186	1133	1.1	1.1	None	Chrome	Google Chrome (0.x)	text/html	None	None	None	77.120.238.66	77.120.238.66	42305	443	HTTP	h2	Zscaler Client Connector	None	None	None	None	None	SSL_Inspection_1	Inspected	Software Protection	TLS_AES_128_GCM_SHA256	TLS1_3	Yes	None	0	0	1	1	0	0	1	0	0	X25519MLKEM768	ecdsa_secp256r1_sha256	TLS_AES_256_GCM_SHA384	TLS1_3	Yes	Fail	No	DV	secp256r1	rsa_pss_rsae_sha256	None	None	General Surfing	Database A	None	None	None	None	None	None	746115167240	None	6.1.245.10021_01	10.10.102.30	No
